Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
linera-protocol,N/A,,0,0,0,0
HPCC-Platform,True,create::jobs::batch::whole; create::pods::core::whole,0,0,5,0
pvc-autoresizer,N/A,,0,0,0,0
uashield,N/A,,0,0,0,0
docker_auth,N/A,,0,0,0,0
chunkr,N/A,,0,0,0,0
skywalking-showcase,N/A,,0,0,0,0
tugraph-analytics,True,*::deployments::apps::whole; *::pods::::whole; *::pods::core::whole; *::replicasets::apps::whole; *::secrets::::whole,1,0,5,0
open-feature-operator,True,create::deployments::apps::whole; create::pods::::whole; patch::deployments::apps::whole; patch::pods::::whole; update::deployments::apps::whole; update::pods::::whole,0,0,12,0
alluxio,N/A,,0,0,0,0
seldon-core,True,create::deployments::apps::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::deployments::apps::whole; update::deployments::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,20,0,12,0
